 iter       errosecante       erromuller
 1         3.40326E+00         4.19515E+00
 2         6.19054E-01         9.24620E-02
 3         5.31879E-02         1.15383E-03
 4         4.35964E-04         3.76922E-03
 5         3.26974E-04         2.72990E-03
 6         2.61586E-03         2.92186E-03
 7         1.51227E-03         8.52807E-04
 8         1.51204E-02         4.45699E-04
 9         1.37874E-02         4.00978E-07
10         1.81882E-03         1.46147E-07
11         1.04224E-03         0.00000E+00
12         1.15804E-04         0.00000E+00
13         0.00000E+00         0.00000E+00
14         0.00000E+00         0.00000E+00
